 Sale's History For January

Transaction_date,Stock Item,Price,Payment_Type,Name,Price
1/2/2017 6:17,Mrs Death T-shirt,1200,Mastercard,carolina,160
1/2/2017 4:53,Kiddies Range Tracksuit,1200,Visa,Betina,300
1/2/2017 13:08,Sandle,1200,Mastercard,Federica e Andrea,467
1/3/2017 14:44,Beanie,1200,Visa,Gouya,182
1/4/2017 12:56,Sandle,3600,Visa,Gerd W ,100
1/4/2017 13:19,Bucket Hat,1200,Visa,LAURENCE,120
1/4/2017 20:11,Bucket Hat,1200,Mastercard,Fleur,120
1/2/2017 20:09,Golf T-shirt,1200,Mastercard,adam,280
1/4/2017 13:17,Jean Short,1200,Mastercard,Renee Elisabeth,200
1/4/2017 14:11,Long dress,1200,Visa,Aidan,150
1/5/2017 2:42,Mrs Death T-shirt,1200,Diners,Stacy,160
1/5/2017 5:39,Kiddies Range Tracksuit,1200,Amex,Heidi,160
1/2/2017 9:16,Sandle,1200,Mastercard,Sean ,300
1/5/2017 10:08,Beanie,1200,Visa,Georgia,467
1/2/2017 14:18,Sandle,1200,Visa,Richard,182
1/4/2017 1:05,Bucket Hat,1200,Diners,Leanne,100
1/5/2017 11:37,Bucket Hat,1200,Visa,Janet,120
1/6/2017 5:02,Golf T-shirt,1200,Diners,barbara,120
1/6/2017 7:45,Jean Short,3600,Visa,Sabine,280
1/2/2017 7:35,Long dress,1200,Diners,Hani,200
1/6/2017 12:56,Mrs Death T-shirt,1200,Visa,Jeremy,160
1/1/2017 11:05,Mrs Death T-shirt,1200,Diners,Janis,160
1/5/2017 4:10,Kiddies Range Tracksuit,1200,Mastercard,Nicola,160
1/6/2017 7:18,Sandle,1200,Visa,asuman,300
1/2/2017 1:11,Beanie,1200,Mastercard,Lena,467
1/1/2017 2:24,Sandle,1200,Visa,Lisa,182
1/7/2017 8:08,Bucket Hat,1200,Diners,Bryan Kerrene,100
1/2/2017 2:57,Bucket Hat,1200,Visa,chris,120
1/1/2017 20:21,Golf T-shirt,1200,Visa,Maxine,120
1/8/2017 0:42,Jean Short,1200,Visa,Family,280
1/8/2017 3:56,short dress,1200,Mastercard,Katherine,200
1/8/2017 3:16,Mrs Death T-shirt,1200,Mastercard,Linda,150
1/8/2017 1:59,Stock Item,1200,Mastercard,SYLVIA,160
1/3/2017 9:03,Mrs Death T-shirt,1200,Diners,Sheila,160
1/5/2017 13:17,Kiddies Range Tracksuit,1200,Mastercard,Stephanie,300
1/6/2017 7:46,Sandle,1200,Amex,Kelly,467
1/5/2017 20:00,Beanie,3600,Visa,James,182
1/8/2017 16:24,Sandle,1200,Visa,jennifer,100
1/9/2017 6:39,Bucket Hat,1200,Mastercard,Anneli,120
1/6/2017 22:19,Bucket Hat,3600,Amex,Ritz,120
1/6/2017 23:00,Golf T-shirt,3600,Amex,Sylvia,280
1/7/2017 7:44,Jean Short,1200,Mastercard,Marie,200
1/3/2017 13:24,long dress,1200,Visa,Mehmet Fatih,150
1/7/2017 15:12,Mrs Death T-shirt,3600,Visa,Anabela,160
1/7/2017 20:15,Kiddies Range Tracksuit,1200,Amex,Nicole,160
1/3/2017 10:11,Sandle,3600,Visa,Christiane ,300
1/9/2017 15:58,Beanie,1200,Mastercard,Sari,467
1/3/2017 13:11,short dress,1200,Mastercard,simone,182
1/10/2017 12:57,Mrs Death T-shirt,1200,Amex,Vanessa,100
1/10/2017 14:43,Kiddies Range Tracksuit,1200,Diners,Anupam,120
1/10/2017 12:05,Sandle,1200,Visa,Karina,120
1/6/2017 1:20,Beanie,1200,Mastercard,Frank,280
1/10/2017 14:56,Sandle,1200,Visa,Angela,160
1/7/2017 10:01,Bucket Hat,1200,Visa,Darren,300
1/1/2017 1:26,Bucket Hat,1200,Mastercard,Nikki,467
1/11/2017 2:04,Golf T-shirt,1200,Visa,chris,182
1/11/2017 14:17,Jean Short,1200,Visa,Stephanie,100
1/10/2017 21:38,Beanie,1200,Visa,Anushka,120
1/7/2017 6:18,Mrs Death T-shirt,1200,Mastercard,June ,120
1/4/2017 8:39,Kiddies Range Tracksuit,3600,Diners,Baybars,280
1/5/2017 0:31,Sandle,1200,Mastercard,Bonnie,200
1/2/2017 6:07,Beanie,1200,Visa,Cindy ,150
1/12/2017 3:25,Sandle,1200,Mastercard,chrissy,160
1/4/2017 13:56,Bucket Hat,1200,Mastercard,Tamar,160
1/7/2017 0:12,Bucket Hat,3600,Mastercard,Deirdre,300
1/12/2017 5:18,Golf T-shirt,1200,Mastercard,Bernadett,467
1/8/2017 15:16,Jean Short,1200,Visa,Dottie,182
1/11/2017 11:33,Beanie,1200,Visa,Stefan,100
1/7/2017 20:22,Mrs Death T-shirt,1200,Visa,Gina,120
1/2/2017 22:00,Kiddies Range Tracksuit,1200,Diners,Lynne,120
1/5/2017 13:52,Sandle,1200,Mastercard,Tammy,280
1/8/2017 20:32,Beanie,1200,Visa,Kim,200
1/8/2017 13:34,Sandle,1200,Visa,Bruce,150
1/11/2017 13:08,Bucket Hat,1200,Visa,Rosa Maria,160
1/12/2017 19:04,Bucket Hat,1200,Visa,Lydia,160
1/12/2017 13:41,Golf T-shirt,1200,Visa,Eric,300
1/11/2017 10:38,Jean Short,1200,Mastercard,AnaPaula,467
1/13/2017 5:57,Beanie,1200,Visa,Robin,182
1/13/2017 6:13,Mrs Death T-shirt,1200,Visa,Gitte,100
1/8/2017 13:14,Kiddies Range Tracksuit,1200,Visa,Dr. Claudia,120
1/2/2017 11:41,Sandle,1200,Visa,Crystal,120
1/7/2017 19:50,Beanie,1200,Diners,Delphine,280
1/1/2017 20:28,Sandle,1200,Visa,nathalie,200
1/3/2017 15:22,Bucket Hat,1200,Mastercard,Lindi,150
1/12/2017 3:03,Bucket Hat,3600,Mastercard,Valda,160
1/5/2017 8:58,Golf T-shirt,3600,Mastercard,Marcia,160
1/10/2017 14:03,Jean Short,1200,Mastercard,Kevin,300
1/13/2017 11:26,Jean Short,1200,Visa,Clare,467
1/2/2017 12:18,Mrs Death T-shirt,1200,Visa,Alice,182
1/14/2017 4:54,Kiddies Range Tracksuit,1200,Mastercard,ZENA,100
1/6/2017 17:15,Sandle,1200,Visa,Andrea,120
